"landtype","spp","DOMName","poolID","amountAtT0"
222,"ACER.SAH","Fast_B",4,0
222,"ACER.SAH","MED",5,0
222,"ACER.SAH","Slow_A",6,7
222,"ACER.SAH","Slow_B",7,26
222,"ACER.SAH","Sng_Stem",8,0
222,"ACER.SAH","Sng_Oth",9,0
222,"ACER.SAH","Extra",10,0
223,"ACER.SAH","VF_A",1,0
223,"ACER.SAH","VF_B",2,0
223,"ACER.SAH","Fast_A",3,0
223,"ACER.SAH","Fast_B",4,0
223,"ACER.SAH","MED",5,0
223,"ACER.SAH","Slow_A",6,7
223,"ACER.SAH","Slow_B",7,26
223,"ACER.SAH","Sng_Stem",8,0
223,"ACER.SAH","Sng_Oth",9,0
223,"ACER.SAH","Extra",10,0
378,"ACER.SAH","VF_A",1,0
378,"ACER.SAH","VF_B",2,0
378,"ACER.SAH","Fast_A",3,0
378,"ACER.SAH","Fast_B",4,0
378,"ACER.SAH","MED",5,0
378,"ACER.SAH","Slow_A",6,0
378,"ACER.SAH","Slow_B",7,0
378,"ACER.SAH","Sng_Stem",8,0
378,"ACER.SAH","Sng_Oth",9,0
378,"ACER.SAH","Extra",10,0
379,"ACER.SAH","VF_A",1,0
379,"ACER.SAH","VF_B",2,0
379,"ACER.SAH","Fast_A",3,0
379,"ACER.SAH","Fast_B",4,0
379,"ACER.SAH","MED",5,0
379,"ACER.SAH","Slow_A",6,0
379,"ACER.SAH","Slow_B",7,0
379,"ACER.SAH","Sng_Stem",8,0
379,"ACER.SAH","Sng_Oth",9,0
379,"ACER.SAH","Extra",10,0
28,"BETU.ALL","VF_A",1,24
28,"BETU.ALL","VF_B",2,11
28,"BETU.ALL","Fast_A",3,23
28,"BETU.ALL","Fast_B",4,13
28,"BETU.ALL","MED",5,1
28,"BETU.ALL","Slow_A",6,269
28,"BETU.ALL","Slow_B",7,863
28,"BETU.ALL","Sng_Stem",8,0
28,"BETU.ALL","Sng_Oth",9,1
28,"BETU.ALL","Extra",10,0
29,"BETU.ALL","VF_A",1,21
29,"BETU.ALL","VF_B",2,10
29,"BETU.ALL","Fast_A",3,23
29,"BETU.ALL","Fast_B",4,11
29,"BETU.ALL","MED",5,2
29,"BETU.ALL","Slow_A",6,244
29,"BETU.ALL","Slow_B",7,757
29,"BETU.ALL","Sng_Stem",8,1
29,"BETU.ALL","Sng_Oth",9,1
29,"BETU.ALL","Extra",10,0
130,"BETU.ALL","VF_A",1,39
130,"BETU.ALL","VF_B",2,17
130,"BETU.ALL","Fast_A",3,75
130,"BETU.ALL","Fast_B",4,18
130,"BETU.ALL","MED",5,2
130,"BETU.ALL","Slow_A",6,438
130,"BETU.ALL","Slow_B",7,1130
130,"BETU.ALL","Sng_Stem",8,1
130,"BETU.ALL","Sng_Oth",9,6
130,"BETU.ALL","Extra",10,0
131,"BETU.ALL","VF_A",1,41
131,"BETU.ALL","VF_B",2,18
131,"BETU.ALL","Fast_A",3,89
131,"BETU.ALL","Fast_B",4,19
131,"BETU.ALL","MED",5,3
131,"BETU.ALL","Slow_A",6,486
131,"BETU.ALL","Slow_B",7,1231
131,"BETU.ALL","Sng_Stem",8,2
131,"BETU.ALL","Sng_Oth",9,7
131,"BETU.ALL","Extra",10,0
132,"BETU.ALL","VF_A",1,37
132,"BETU.ALL","VF_B",2,17
132,"BETU.ALL","Fast_A",3,75
132,"BETU.ALL","Fast_B",4,18
132,"BETU.ALL","MED",5,1
132,"BETU.ALL","Slow_A",6,448
132,"BETU.ALL","Slow_B",7,1155
132,"BETU.ALL","Sng_Stem",8,1
132,"BETU.ALL","Sng_Oth",9,5
132,"BETU.ALL","Extra",10,0
133,"BETU.ALL","VF_A",1,25
133,"BETU.ALL","VF_B",2,11
133,"BETU.ALL","Fast_A",3,32
133,"BETU.ALL","Fast_B",4,13
133,"BETU.ALL","MED",5,1
133,"BETU.ALL","Slow_A",6,284
133,"BETU.ALL","Slow_B",7,850
133,"BETU.ALL","Sng_Stem",8,1
133,"BETU.ALL","Sng_Oth",9,2
133,"BETU.ALL","Extra",10,0
134,"BETU.ALL","VF_A",1,24
134,"BETU.ALL","VF_B",2,10
134,"BETU.ALL","Fast_A",3,36
134,"BETU.ALL","Fast_B",4,12
134,"BETU.ALL","MED",5,2
134,"BETU.ALL","Slow_A",6,268
134,"BETU.ALL","Slow_B",7,753
134,"BETU.ALL","Sng_Stem",8,1
134,"BETU.ALL","Sng_Oth",9,2
134,"BETU.ALL","Extra",10,0
135,"BETU.ALL","VF_A",1,29
135,"BETU.ALL","VF_B",2,13
135,"BETU.ALL","Fast_A",3,47
135,"BETU.ALL","Fast_B",4,15
135,"BETU.ALL","MED",5,4
135,"BETU.ALL","Slow_A",6,344
135,"BETU.ALL","Slow_B",7,965
135,"BETU.ALL","Sng_Stem",8,2
135,"BETU.ALL","Sng_Oth",9,3
135,"BETU.ALL","Extra",10,0
136,"BETU.ALL","VF_A",1,41
136,"BETU.ALL","VF_B",2,18
136,"BETU.ALL","Fast_A",3,82
136,"BETU.ALL","Fast_B",4,19
136,"BETU.ALL","MED",5,4
136,"BETU.ALL","Slow_A",6,497
136,"BETU.ALL","Slow_B",7,1278
136,"BETU.ALL","Sng_Stem",8,2
136,"BETU.ALL","Sng_Oth",9,6
136,"BETU.ALL","Extra",10,0
