"landtype","spp","DOMName","poolID","amountAtT0"
59,"BETU.ALL","Slow_B",7,260
59,"BETU.ALL","Sng_Stem",8,4
59,"BETU.ALL","Sng_Oth",9,7
59,"BETU.ALL","Extra",10,0
65,"BETU.ALL","VF_A",1,9
65,"BETU.ALL","VF_B",2,1
65,"BETU.ALL","Fast_A",3,12
65,"BETU.ALL","Fast_B",4,2
65,"BETU.ALL","MED",5,18
65,"BETU.ALL","Slow_A",6,104
65,"BETU.ALL","Slow_B",7,270
65,"BETU.ALL","Sng_Stem",8,8
65,"BETU.ALL","Sng_Oth",9,4
65,"BETU.ALL","Extra",10,0
66,"BETU.ALL","VF_A",1,14
66,"BETU.ALL","VF_B",2,2
66,"BETU.ALL","Fast_A",3,20
66,"BETU.ALL","Fast_B",4,2
66,"BETU.ALL","MED",5,14
66,"BETU.ALL","Slow_A",6,113
66,"BETU.ALL","Slow_B",7,282
66,"BETU.ALL","Sng_Stem",8,7
66,"BETU.ALL","Sng_Oth",9,8
66,"BETU.ALL","Extra",10,0
67,"BETU.ALL","VF_A",1,12
67,"BETU.ALL","VF_B",2,2
67,"BETU.ALL","Fast_A",3,18
67,"BETU.ALL","Fast_B",4,3
67,"BETU.ALL","MED",5,44
67,"BETU.ALL","Slow_A",6,172
67,"BETU.ALL","Slow_B",7,445
67,"BETU.ALL","Sng_Stem",8,19
67,"BETU.ALL","Sng_Oth",9,8
67,"BETU.ALL","Extra",10,0
68,"BETU.ALL","VF_A",1,16
68,"BETU.ALL","VF_B",2,2
68,"BETU.ALL","Fast_A",3,10
68,"BETU.ALL","Fast_B",4,3
68,"BETU.ALL","MED",5,19
68,"BETU.ALL","Slow_A",6,104
68,"BETU.ALL","Slow_B",7,275
68,"BETU.ALL","Sng_Stem",8,7
68,"BETU.ALL","Sng_Oth",9,3
68,"BETU.ALL","Extra",10,0
8,"BETU.PAP","VF_A",1,0
8,"BETU.PAP","VF_B",2,0
8,"BETU.PAP","Fast_A",3,0
8,"BETU.PAP","Fast_B",4,0
8,"BETU.PAP","MED",5,0
8,"BETU.PAP","Slow_A",6,0
8,"BETU.PAP","Slow_B",7,0
8,"BETU.PAP","Sng_Stem",8,0
8,"BETU.PAP","Sng_Oth",9,0
8,"BETU.PAP","Extra",10,0
9,"BETU.PAP","VF_A",1,0
9,"BETU.PAP","VF_B",2,0
9,"BETU.PAP","Fast_A",3,0
9,"BETU.PAP","Fast_B",4,0
9,"BETU.PAP","MED",5,0
9,"BETU.PAP","Slow_A",6,0
9,"BETU.PAP","Slow_B",7,0
9,"BETU.PAP","Sng_Stem",8,0
9,"BETU.PAP","Sng_Oth",9,0
9,"BETU.PAP","Extra",10,0
16,"BETU.PAP","VF_A",1,15
16,"BETU.PAP","VF_B",2,7
16,"BETU.PAP","Fast_A",3,9
16,"BETU.PAP","Fast_B",4,7
16,"BETU.PAP","MED",5,26
16,"BETU.PAP","Slow_A",6,161
16,"BETU.PAP","Slow_B",7,512
16,"BETU.PAP","Sng_Stem",8,8
16,"BETU.PAP","Sng_Oth",9,0
16,"BETU.PAP","Extra",10,0
17,"BETU.PAP","VF_A",1,16
17,"BETU.PAP","VF_B",2,7
17,"BETU.PAP","Fast_A",3,10
17,"BETU.PAP","Fast_B",4,8
17,"BETU.PAP","MED",5,28
17,"BETU.PAP","Slow_A",6,174
17,"BETU.PAP","Slow_B",7,550
17,"BETU.PAP","Sng_Stem",8,9
17,"BETU.PAP","Sng_Oth",9,0
17,"BETU.PAP","Extra",10,0
58,"BETU.PAP","VF_A",1,14
58,"BETU.PAP","VF_B",2,6
58,"BETU.PAP","Fast_A",3,9
58,"BETU.PAP","Fast_B",4,7
58,"BETU.PAP","MED",5,23
58,"BETU.PAP","Slow_A",6,147
58,"BETU.PAP","Slow_B",7,470
58,"BETU.PAP","Sng_Stem",8,7
58,"BETU.PAP","Sng_Oth",9,0
58,"BETU.PAP","Extra",10,0
59,"BETU.PAP","VF_A",1,12
59,"BETU.PAP","VF_B",2,5
59,"BETU.PAP","Fast_A",3,7
59,"BETU.PAP","Fast_B",4,6
59,"BETU.PAP","MED",5,14
59,"BETU.PAP","Slow_A",6,116
59,"BETU.PAP","Slow_B",7,385
59,"BETU.PAP","Sng_Stem",8,4
